iter	Passed	Remaining
399	65043	97565
400	65197	97390
401	65346	97206
402	65506	97040
403	65665	96872
404	65826	96708
405	65994	96553
406	66155	96388
407	66308	96212
408	66479	96062
409	66641	95899
410	66790	95717
411	66954	95556
412	67106	95379
413	67260	95204
414	67406	95018
415	67600	94900
416	67770	94748
417	67933	94586
418	68097	94425
419	68254	94256
420	68436	94120
421	68599	93958
422	68764	93799
423	68924	93633
424	69077	93458
425	69239	93294
426	69391	93117
427	69578	92988
428	69752	92840
429	69911	92673
430	70079	92517
431	70236	92348
432	70393	92177
433	70563	92024
434	70713	91846
435	70864	91668
436	71020	91498
437	71169	91318
438	71338	91163
439	71491	90989
440	71657	90831
441	71822	90671
442	71977	90499
443	72144	90342
444	72300	90172
445	72447	89990
446	72606	89824
447	72771	89664
448	72946	89517
449	73097	89341
450	73251	89168
451	73406	88997
452	73555	88818
453	73728	88668
454	73884	88499
455	74059	88351
456	74216	88182
457	74382	88024
458	74545	87863
459	74703	87695
460	74853	87518
461	75024	87365
462	75194	87212
463	75364	87058
464	75551	86925
465	75715	86764
466	75878	86602
467	76048	86447
468	76207	86282
469	76362	86111
470	76506	85927
471	76675	85773
472	76837	85609
473	77000	85447
474	77160	85282
475	77319	85115
476	77486	84959
477	77637	84784
478	77797	84618
479	77953	84449
480	78119	84291
481	78283	84129
482	78463	83987
483	78632	83831
484	78791	83665
485	78942	83491
486	79103	83326
487	79264	83162
488	79421	82995
489	79585	82834
490	79749	82672
491	79915	82514
492	80071	82345
493	80229	82177
494	80422	82047
495	80574	81874
496	80736	81710
497	80891	81541
498	81055	81380
499	81208	81208
500	81369	81044
501	81527	80877
502	81688	80714
503	81834	80535
504	81986	80363
505	82141	80193
506	82315	80042
507	82461	79864
508	82626	79705
509	82786	79539
510	82941	79370
511	83081	79186
512	83242	79023
513	83424	78880
514	83579	78710
515	83739	78545
516	83894	78377
517	84048	78207
518	84213	78047
519	84369	77879
520	84541	77726
521	84716	77575
522	84870	77405
523	85033	77243
524	85182	77069
525	85342	76905
526	85491	76731
527	85647	76563
528	85795	76388
529	85939	76210
530	86098	76045
531	86265	75887
532	86439	75735
533	86603	75575
534	86752	75402
535	86906	75232
536	87063	75065
537	87221	74900
538	87378	74733
539	87546	74576
540	87699	74406
541	87855	74239
542	88018	74078
543	88205	73937
544	88358	73767
545	88522	73606
546	88681	73442
547	88839	73276
548	88997	73110
549	89150	72941
550	89299	72768
551	89453	72599
552	89619	72441
553	89804	72297
554	89949	72121
555	90119	71966
556	90277	71800
557	90461	71655
558	90622	71492
559	90784	71331
560	90944	71167
561	91104	71003
562	91270	70843
563	91422	70674
564	91567	70498
565	91714	70325
566	91877	70163
567	92031	69995
568	92203	69841
569	92353	69669
570	92509	69503
571	92653	69328
572	92847	69190
573	93011	69029
574	93203	68889
575	93371	68731
576	93534	68570
577	93717	68423
578	93874	68257
579	94056	68110
580	94214	67944
581	94359	67770
582	94508	67598
583	94652	67423
584	94822	67267
585	94999	67115
586	95149	66945
587	95300	66775
588	95498	66638
589	95661	66476
590	95824	66314
591	95975	66144
592	96136	65982
593	96296	65818
594	96461	65658
595	96618	65493
596	96770	65324
597	96930	65160
598	97077	64988
599	97234	64823
600	97383	64652
601	97527	64478
602	97677	64308
603	97849	64153
604	98010	63990
605	98155	63817
606	98306	63648
607	98461	63481
608	98624	63320
609	98792	63162
610	98950	62998
611	99102	62829
612	99249	62658
613	99403	62491
614	99559	62325
615	99729	62169
616	99891	62007
617	100053	61845
618	100230	61692
619	100392	61530
620	100564	61375
621	100730	61215
622	100878	61045
623	101043	60884
624	101202	60721
625	101349	60550
626	101507	60386
627	101674	60227
628	101839	60067
629	101984	59895
630	102139	59729
631	102298	59566
632	102454	59401
633	102605	59232
634	102767	59071
635	102931	58910
636	103100	58752
637	103249	58583
638	103403	58417
639	103554	58249
640	103719	58089
641	103880	57927
642	104028	57757
643	104190	57596
644	104344	57429
645	104509	57269
646	104663	57104
647	104827	56943
648	104977	56775
649	105132	56609
650	105305	56454
651	105452	56284
652	105615	56123
653	105782	55964
654	105935	55797
655	106101	55638
656	106264	55477
657	106420	55312
658	106573	55146
659	106730	54982
660	106883	54816
661	107055	54659
662	107207	54493
663	107376	54335
664	107530	54169
665	107679	54001
666	107837	53838
667	107989	53671
