Model,F1 Score
Hoeffding Tree,"[0.9425830352347924, 0.8860998126163337, 0.9227369693927606, 0.4308772995679497, 0.9841827917531364, 0.3498519314782599, 1.0, 1.0, 0.9834291872270433, 1.0]"
CNN,"[1.0, 0.6902671685074352, 0.5228183930404712, 0.6193284193284193, 0.721408596468719, 0.8148359051870598, 1.0, 0.932679563219137, 1.0, 1.0]"
Transformer,"[0.8769565790374773, 0.7430091920657959, 1.0, 0.7414839792557504, 1.0, 0.5403812765860714, 1.0, 0.8148359051870598, 0.995481835481654, 1.0]"
CatBoost,"[0.8098457320451069, 0.7853569007521959, 1.0, 0.7296836228287841, 1.0, 0.3738543736529368, 1.0, 0.9894566595666977, 1.0, 1.0]"
