Model,ROC AUC Score
Hoeffding Tree,"[1.0, 0.8760342575119756, 0.9231927710843373, 0.8258818406154739, 0.9841867469879518, 0.9118975903614458, 1.0, 1.0, 0.983433734939759, 1.0, 0.922334722927856]"
CNN,"[1.0, 0.8592321091595299, 0.9991199738713892, 0.7925542531572071, 1.0, 0.9726522808099869, 1.0, 1.0, 1.0, 1.0, 0.9146163380933372]"
Transformer,"[1.0, 0.8791937327623749, 1.0, 0.8298011322398026, 1.0, 0.59227346131514, 1.0, 1.0, 1.0, 1.0, 0.917309569603716]"
CatBoost,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.574062817535201, 1.0, 1.0, 1.0, 1.0, 0.9381814532225288]"
