Model,ROC AUC Score
Hoeffding Tree,"[0.9262048192771084, 0.8237951807228916, 0.6920180722891567, 0.21460843373493976, 0.5, 0.7185813434460735]"
CNN,"[0.45860701843518653, 1.0, 0.8991440158223255, 0.9049072797212948, 0.9759036144578314, 0.7938106945855712]"
Transformer,"[0.6069526600377413, 1.0, 0.8522395304107998, 0.9826829910001452, 1.0, 0.845402453186239]"
CatBoost,"[0.8878352264479604, 1.0, 0.9999999999999999, 1.0, 1.0, 0.9619733451879808]"
