iter	Passed	Remaining
400	19332	28878
401	19381	28831
402	19421	28770
403	19467	28719
404	19515	28670
405	19553	28607
406	19606	28567
407	19647	28508
408	19686	28446
409	19737	28403
410	19786	28355
411	19829	28300
412	19876	28250
413	19922	28199
414	19970	28151
415	20019	28103
416	20061	28047
417	20107	27997
418	20151	27942
419	20198	27893
420	20244	27842
421	20285	27784
422	20326	27726
423	20374	27678
424	20418	27624
425	20465	27575
426	20512	27526
427	20555	27470
428	20599	27418
429	20639	27359
430	20684	27306
431	20723	27247
432	20775	27204
433	20810	27139
434	20854	27086
435	20902	27038
436	20951	26992
437	20995	26939
438	21042	26889
439	21091	26844
440	21130	26784
441	21189	26751
442	21232	26696
443	21277	26645
444	21323	26594
445	21373	26549
446	21422	26502
447	21471	26455
448	21516	26404
449	21574	26369
450	21621	26319
451	21671	26274
452	21718	26225
453	21759	26168
454	21802	26115
455	21851	26068
456	21898	26018
457	21948	25974
458	21993	25922
459	22030	25861
460	22085	25822
461	22146	25790
462	22194	25742
463	22236	25687
464	22278	25632
465	22327	25585
466	22365	25526
467	22415	25481
468	22457	25426
469	22508	25382
470	22545	25321
471	22584	25264
472	22624	25207
473	22672	25159
474	22718	25109
475	22759	25054
476	22800	24999
477	22856	24960
478	22894	24901
479	22936	24847
480	22975	24790
481	23021	24741
482	23067	24691
483	23109	24637
484	23153	24585
485	23200	24537
486	23239	24480
487	23278	24423
488	23315	24364
489	23358	24312
490	23399	24257
491	23445	24207
492	23483	24150
493	23527	24098
494	23572	24049
495	23619	23999
496	23665	23951
497	23714	23904
498	23763	23858
499	23801	23801
500	23838	23742
501	23882	23691
502	23926	23640
503	23969	23588
504	24006	23531
505	24057	23486
506	24104	23438
507	24144	23384
508	24189	23333
509	24239	23288
510	24273	23228
511	24322	23182
512	24365	23130
513	24400	23070
514	24438	23014
515	24471	22953
516	24518	22905
517	24559	22852
518	24593	22792
519	24634	22739
520	24672	22683
521	24710	22627
522	24749	22572
523	24795	22523
524	24842	22476
525	24887	22427
526	24930	22376
527	24975	22326
528	25024	22280
529	25072	22234
530	25107	22175
531	25147	22122
532	25186	22068
533	25223	22011
534	25272	21965
535	25312	21912
536	25355	21861
537	25398	21810
538	25437	21756
539	25472	21698
540	25516	21649
541	25555	21594
542	25594	21540
543	25638	21491
544	25693	21450
545	25736	21399
546	25771	21342
547	25810	21289
548	25853	21238
549	25895	21187
550	25932	21131
551	25980	21085
552	26021	21033
553	26064	20983
554	26107	20933
555	26144	20877
556	26192	20831
557	26236	20782
558	26283	20735
559	26317	20677
560	26358	20626
561	26401	20576
562	26455	20534
563	26497	20483
564	26531	20426
565	26579	20380
566	26623	20331
567	26670	20284
568	26715	20236
569	26763	20189
570	26811	20144
571	26851	20091
572	26892	20040
573	26933	19988
574	26977	19939
575	27014	19885
576	27054	19833
577	27096	19783
578	27134	19730
579	27190	19690
580	27233	19640
581	27281	19593
582	27336	19553
583	27385	19507
584	27418	19450
585	27455	19396
586	27492	19343
587	27534	19292
588	27581	19246
589	27627	19198
590	27670	19149
591	27706	19095
592	27761	19054
593	27805	19005
594	27851	18957
595	27901	18913
596	27943	18863
597	27986	18813
598	28030	18764
599	28068	18712
600	28102	18657
601	28139	18603
602	28177	18551
603	28225	18505
604	28276	18461
605	28320	18413
606	28370	18368
607	28410	18317
608	28448	18265
609	28499	18220
610	28538	18169
611	28575	18116
612	28613	18064
613	28668	18022
614	28707	17971
615	28744	17918
616	28789	17870
617	28845	17830
618	28892	17783
619	28932	17732
620	28982	17688
621	29031	17642
622	29070	17591
623	29112	17542
624	29150	17490
625	29196	17443
626	29240	17395
627	29287	17348
628	29335	17302
629	29379	17254
630	29417	17203
631	29462	17155
632	29506	17107
633	29551	17059
634	29595	17011
635	29644	16966
636	29687	16917
637	29725	16866
638	29759	16812
639	29810	16768
640	29847	16716
641	29888	16666
642	29931	16618
643	29964	16564
644	30010	16517
645	30057	16470
646	30105	16425
647	30138	16371
648	30185	16325
649	30224	16274
650	30264	16224
651	30321	16183
652	30370	16138
653	30419	16093
654	30452	16039
655	30496	15992
656	30536	15942
657	30575	15891
658	30618	15843
659	30657	15793
660	30694	15742
661	30736	15693
662	30780	15645
663	30825	15598
664	30865	15548
665	30909	15501
666	30960	15457
667	30997	15405
668	31034	15354
669	31086	15311
670	31144	15270
671	31182	15219
672	31230	15174
673	31275	15127
674	31312	15076
675	31350	15025
676	31397	14979
677	31437	14930
678	31486	14885
679	31526	14836
680	31566	14786
681	31616	14741
682	31662	14695
683	31695	14642
684	31741	14596
685	31796	14553
686	31828	14501
687	31872	14453
688	31921	14408
689	31963	14360
690	32004	14311
691	32042	14261
692	32083	14213
693	32131	14167
694	32178	14121
695	32223	14074
696	32266	14026
697	32309	13978
698	32353	13931
699	32398	13885
700	32440	13836
701	32487	13791
702	32527	13742
703	32573	13695
704	32615	13647
705	32652	13597
706	32692	13548
707	32735	13501
708	32782	13455
709	32831	13410
710	32876	13363
711	32916	13314
712	32950	13263
713	32988	13213
714	33022	13162
715	33057	13112
716	33097	13063
717	33146	13018
718	33186	12969
719	33230	12922
720	33263	12871
721	33303	12823
722	33338	12772
723	33386	12727
724	33421	12677
725	33464	12629
726	33501	12580
727	33555	12537
728	33597	12489
729	33634	12440
730	33677	12392
731	33735	12351
732	33781	12305
733	33837	12262
734	33882	12216
735	33921	12167
736	33956	12117
737	33990	12067
738	34032	12019
739	34075	11972
740	34112	11923
741	34154	11875
742	34189	11825
743	34246	11783
744	34284	11735
745	34328	11688
746	34375	11642
747	34419	11595
748	34463	11549
749	34504	11501
750	34545	11453
751	34582	11404
752	34633	11360
753	34678	11314
754	34716	11265
755	34751	11216
756	34792	11168
757	34837	11122
758	34880	11075
759	34919	11027
760	34969	10982
761	35010	10935
762	35044	10885
763	35085	10837
764	35128	10790
765	35162	10741
766	35203	10694
767	35250	10648
768	35285	10599
769	35327	10552
770	35364	10503
771	35421	10461
772	35455	10411
773	35491	10363
774	35523	10313
775	35562	10265
776	35600	10217
777	35652	10173
778	35696	10127
779	35739	10080
780	35778	10032
781	35822	9986
782	35857	9937
783	35904	9891
784	35946	9845
785	35995	9800
786	36028	9751
787	36069	9703
788	36112	9657
789	36159	9612
790	36201	9565
791	36235	9516
792	36277	9469
793	36327	9425
794	36366	9377
795	36415	9332
796	36449	9283
797	36492	9237
798	36533	9190
799	36578	9144
800	36620	9097
801	36663	9051
802	36711	9006
803	36761	8961
804	36805	8915
805	36852	8870
806	36900	8825
807	36938	8777
808	36972	8729
809	37022	8684
810	37056	8635
811	37101	8590
812	37148	8544
813	37194	8498
814	37233	8451
815	37282	8406
816	37331	8361
817	37380	8316
818	37419	8269
819	37460	8223
820	37502	8176
821	37546	8130
822	37592	8084
823	37630	8037
824	37671	7990
825	37720	7945
826	37757	7898
827	37795	7851
828	37835	7804
